ID,Area,CenterX,CenterY,type
159,5426,1364,2727,1
160,6475,1354,2820,1
161,5528,1295,2866,1
162,5070,1550,2863,1
163,6918,1343,1966,1
164,6368,530,2154,1
165,4834,686,1968,1
166,6028,1175,1880,1
167,5908,1465,1847,1
168,7173,1250,1778,1
169,6460,554,1614,1
170,6135,1095,1697,1
171,7012,1223,1589,1
172,6114,691,1511,1
173,4645,517,1522,1
174,5855,880,1441,1
175,7477,1166,1498,1
176,5805,733,1360,1
177,7735,1086,1309,1
178,5963,534,1360,1
179,5544,761,1081,1
180,5117,532,1061,1
181,6066,377,1598,1
182,3600,328,2148,1
183,8609,363,2212,1
184,8889,1154,1216,2
185,8053,897,1525,2
186,8276,346,1810,2
187,6730,981,1621,2
188,8394,1375,1552,2
189,5777,2274,1231,2
190,5581,2279,1351,2
191,4856,2193,1276,2
192,4284,2076,1297,2
193,4459,1962,1268,2
194,5223,2033,1046,2
195,7015,2232,1083,2
196,7876,2266,992,2
197,4890,2259,909,2
198,6146,1964,988,2
199,5065,1901,1055,2
200,5966,1835,927,2
201,4975,1832,1114,2
202,4157,1774,1079,2
203,5064,1706,1044,2
204,4785,1641,879,2
205,4857,1678,797,2
206,5331,1356,852,2
207,5245,1283,890,2
208,5120,1283,823,2
209,4790,1382,762,2
210,4638,1244,770,2
211,4859,1172,784,2
212,6277,1565,724,2
213,6923,1725,705,2
214,6752,1819,830,2
215,6006,2033,864,3
216,7477,1906,849,2
217,7995,2124,845,3
218,6197,2165,772,3
219,6818,2275,812,2
220,6474,2236,722,23
221,6464,2331,732,2
222,3874,2516,744,2
223,6247,2532,818,23
224,5758,2681,879,2
225,6436,2320,1431,2
226,3977,2064,1401,2
227,3974,1851,1333,23
228,3641,1807,1273,23
229,4234,1766,1172,2
230,4265,1463,1011,2
231,3371,1385,984,3
232,13789,1525,2283,2
233,7850,1724,2399,2
234,10213,1816,2459,2
235,5863,1536,2538,2
236,3758,1478,2572,2
237,7398,1590,2618,2
238,7115,1403,2605,2
239,6921,1217,2515,2
240,6865,1314,2563,2
241,7176,1209,2587,2
242,8874,1326,2658,2
243,5591,1482,2708,2
244,8919,1676,2757,2
245,9049,1482,2916,2
246,7443,1386,2930,2
247,7804,1212,2899,2
248,6505,1086,2568,2
249,8061,1057,2039,23
250,7413,584,2066,2
251,5763,530,1987,2
252,7934,754,2017,2
253,8165,604,1942,2
254,7121,431,1842,2
255,7479,598,1851,2
256,6500,686,1884,23
257,7854,772,1825,2
258,7820,597,1757,2
259,6768,992,1836,2
260,8878,1372,1870,3
261,8774,857,1770,2
262,8190,734,1594,2
263,8023,751,1440,2
264,8289,1270,1511,2
265,7224,1026,1383,2
266,6368,876,1332,2
267,7542,1183,1322,2
268,7224,928,1259,2
269,7384,819,1257,2
270,6499,720,1288,2
271,6915,623,1255,2
272,7456,544,1270,2
273,6028,577,1142,2
274,5995,646,1128,2
275,5949,728,1167,2
276,8448,813,1140,2
277,7624,1076,1199,2
278,9028,913,1091,2
279,6294,621,1054,23
280,7160,440,1024,23
281,8178,423,1109,23
282,7673,365,1179,2
283,9341,355,1291,23
284,7962,406,1376,23
285,7603,439,1465,23
286,8059,399,1523,23
287,9332,342,2060,23
288,8698,356,1924,3
289,7399,634,1690,2
290,6740,902,1179,1
291,8702,1313,717,3
292,6901,2335,1249,3
293,6141,2595,744,3
294,5677,1588,2474,2
295,4831,1671,2457,3
296,8215,1484,2389,1
297,5183,1435,2433,1
298,3468,1502,2444,23
299,3228,1572,2423,2
300,6146,1156,2468,1
301,10926,1303,2981,23
302,5633,1635,747,3
